Latency (sec)	Accuracy (%)
107	76.5	"Falcon (Lou et al., 2020)"	
3062	81.5	"EVA (Dathathri et al., 2020)"
730	76.5	"Lora (Brutzkus et al., 2019)"
2258	92.54	"SHE (Lou & Jiang, 2019)"
12041	94.62	"DSHE (Lou & Jiang, 2019)"
