BL	2.61	4.49	4.23	22.65
Ours	0.22	5.43	1.06	22.77


BL	9.49	4.51	4.25	22.56
Ours	0.9	5.42	1.06	22.69


BL	22.31	4.51	4.25	22.61
Ours	0.9	5.43	1.06	22.8


BL	84.33	4.49	4.21	22.59
Ours	3.62	5.41	1.05	22.76


BL	157.24	4.46	4.11	22.35
Ours	3.61	5.39	1.04	22.49
